"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"05/01","金","1","8","0","1","10","11","90.91%","27,473","88,070","42,681","158,224","127,709","136.29%","15,822","10"
"05/02","土","2","18","0","0","20","11","181.82%","48,413","168,973","28,389","245,775","127,709","211.7%","12,289","19"
"05/03","日","2","13","0","0","15","12","125%","23,061","132,979","4,000","160,040","127,709","137.85%","10,669","15"
"05/04","月","2","6","0","0","8","12","66.67%","8,075","97,059","23,286","128,420","127,709","110.61%","16,053","8"
"05/05","火","2","9","0","0","11","12","91.67%","2,300","78,924","6,008","87,232","127,709","75.14%","7,930","10"
"05/06","水","0","10","0","0","10","12","83.33%","7,500","96,633","7,300","111,433","127,709","95.98%","11,143","10"
"05/07","木","0","5","0","0","5","12","41.67%","26,624","26,821","0","53,445","127,709","46.03%","10,689","7"
"05/08","金","0","0","0","0","0","12","0%","0","0","0","0","127,709","0%","0","9"
"05/09","土","0","0","0","0","0","12","0%","0","0","0","0","127,709","0%","0","14"
"05/10","日","0","0","0","0","0","12","0%","0","0","0","0","127,709","0%","0","8"
"05/11","月","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","6"
"05/12","火","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","5"
"05/13","水","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","6"
"05/14","木","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","2"
"05/15","金","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","4"
"05/16","土","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","8"
"05/17","日","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","2"
"05/18","月","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","1"
"05/19","火","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","5"
"05/20","水","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","3"
"05/21","木","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","2"
"05/22","金","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","3"
"05/23","土","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","6"
"05/24","日","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","1"
"05/25","月","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","3"
"05/26","火","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","3"
"05/27","水","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","2"
"05/28","木","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","0"
"05/29","金","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","2"
"05/30","土","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","6"
"05/31","日","0","0","0","0","0","12","0%","0","0","0","0","127,710","0%","0","1"
"TOTAL","","9","69","0","1","79","370","21.35%","143,446","689,459","111,664","944,569","3,959,000","23.86%","11,957","181"
